Topic,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10
Bring back 10 minute bolt delivery,0,0,0,0,0,0,0,0,0,0
Delivery issue,3,5,1,1,3,3,0,2,2,0
Delivery partner rude,0,2,2,0,5,2,2,1,3,1
Food stale,0,0,0,0,0,0,0,0,0,0
Frustrating Customer Attraction Strategy,0,0,0,0,0,0,0,0,0,0
Instamart should be open all night,0,0,0,0,0,0,0,0,0,0
Lack of Accountability,0,0,0,0,1,0,0,1,0,0
Lack of Notification on Refund Policy,0,0,0,0,0,0,0,0,0,0
Maps not working properly,0,0,0,0,0,0,0,0,0,0
Poor Membership Benefits,0,0,0,0,0,0,0,0,0,0
Confusing Tracking System,0,0,0,1,0,0,0,0,0,0
Customer Care Issues,1,2,1,1,2,0,1,1,0,1
"I couldn't extract any specific issues or feedback points from the review. The text appears to be an expression of surprise or astonishment (""Bhut ajeeb ho"" is a Hindi phrase that translates to ""It's very strange""). 

Response: N/A",0,1,0,0,0,0,0,0,0,0
Reliability Comparison with Zomato,0,0,0,0,0,0,1,0,0,0
Rude Customer Support,0,1,1,1,1,1,0,0,0,0
Fraudulent App Services,1,0,0,0,1,0,0,0,0,0
Unhelpful Customer Care,3,0,2,0,3,1,0,1,1,0
App Functionality Problems,0,0,1,1,1,1,5,1,4,0
Poor Customer Satisfaction,0,0,0,0,0,0,1,0,0,0
Prices,0,0,1,0,0,0,0,0,1,0
Food Safety Concerns,0,0,0,1,0,0,0,0,0,1
Partner Experience,0,0,0,1,0,0,0,1,0,0
Untrustworthy Store Policy,0,0,1,0,0,0,0,0,0,0
Order Processing Speed,1,0,0,0,1,0,0,0,0,0
Discounts,0,0,1,0,2,1,2,0,1,0
Safety Concerns,0,0,0,0,1,1,0,0,0,0
Misleading Order Status,1,0,0,0,0,0,1,1,0,0
Cost,1,0,0,0,0,0,1,0,0,0
"I'll do my best to extract topics from the review despite it being in a language I don't understand (Marathi). Based on the text, I can identify some keywords and phrases that might indicate issues or feedback points. Here are my attempts:

N/A

Unfortunately, without knowing Marathi, I'm unable to accurately interpret the content of the review. If you could provide more context or translate the text, I'd be happy to help extract distinct topics from it.",0,0,0,1,0,0,0,0,0,0
Ungrateful Customer Service,0,0,0,0,0,0,0,0,1,0
Unfair Delivery Charge,0,1,0,1,2,0,1,3,0,0
Incomplete Order,0,1,0,2,0,0,0,0,0,0
Boycott Swiggy in India,0,0,1,0,0,0,0,0,0,0
Excessive GST Charges,0,1,0,0,0,0,0,0,0,0
Chatbot Functionality,0,0,0,0,0,0,0,0,1,0
Missing Request Confirmation,0,0,0,1,0,0,0,0,0,0
Unfair Platform Experience,0,0,0,0,1,0,0,0,0,0
Charging Extra Fees,1,0,1,1,2,0,0,0,0,0
Inaccurate Estimated Delivery Time,1,3,0,0,0,3,3,1,0,1
Payment Method Blocked Issue,0,0,1,0,0,0,1,0,0,0
Return/Refund Issues,6,4,7,6,7,5,2,8,6,0
Stock Issues,0,0,0,1,0,0,0,0,0,0
No Support,0,0,0,1,0,0,0,0,0,0
Order Not Picked Up,0,0,0,1,0,0,0,0,0,0
Recommendation to Delete,0,1,0,0,0,0,0,0,0,0
Call Center Response,0,0,0,0,1,0,0,0,0,0
Inaccurate Product Description,0,1,0,0,0,0,0,0,0,0
Restaurant Closure Confusion,0,0,0,0,1,0,0,0,0,0
Expired Meat Delivery,0,0,0,1,0,0,0,0,0,0
दोहरा मापदंड,0,1,0,0,0,0,0,0,0,0
Wrong Order,0,0,1,0,0,0,0,0,0,0
Language Support Limitation,0,0,0,0,0,0,0,0,0,1
Inefficient Delivery Routing,1,0,0,0,0,0,0,0,0,0
Comparison with Zomato,0,0,0,0,1,2,1,0,1,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Minimum Cart Value",0,0,0,0,0,0,1,0,0,0
Delivery Boy's Lack of Intelligence,0,0,0,0,0,0,0,1,0,0
Order Cancellation without Refund,0,0,0,0,0,2,0,0,0,0
Falsely Marked Orders,0,0,1,0,0,0,0,0,0,0
Cancelled Orders,1,2,3,1,3,1,1,0,0,2
Ineffective Help System,0,1,0,0,0,0,0,0,1,0
Ordering Experience,0,0,0,2,0,0,0,0,0,0
Delay Service,1,1,1,0,0,1,1,3,1,0
App for Local Areas,0,0,0,0,0,1,0,0,0,0
Overpromising and Underdelivering,0,1,0,0,0,0,0,0,0,0
Order Delivery Time,2,0,4,4,0,2,2,3,1,0
Scam Allegations,0,0,0,0,0,1,0,0,0,0
Customer Rights Violation,0,0,0,1,0,0,0,0,0,0
More Good Offers Needed,0,0,1,0,0,0,0,0,0,0
Scamming Practices,0,2,0,0,0,0,1,0,1,0
Unfair Treatment of Employees,0,1,0,0,0,0,0,0,0,0
Bad Staff,0,0,0,0,0,1,0,0,0,0
Poor Order Experience,0,0,0,0,1,1,1,0,0,0
Order Not Being Processed,0,0,0,1,0,1,0,1,0,0
Pathetic Service,0,0,0,1,0,0,0,0,0,0
Unassigned Delivery Partner,1,0,0,0,0,0,0,0,1,0
Product Quantity,0,0,1,0,0,0,0,0,0,0
Inconsistent Food Quantity,0,0,0,0,1,0,0,0,0,0
Lack of Options,1,0,0,0,0,0,0,0,0,0
Lack of Personalized Attention,1,0,0,0,0,0,0,0,0,0
Price Comparison,0,0,0,0,1,0,0,0,0,0
Refund Coupon Delay,0,1,0,0,0,0,0,0,0,0
Poor Quality,0,2,1,0,1,0,3,2,1,1
No service provided in area.,0,0,0,0,0,0,0,0,1,0
Uselessness of App,0,0,0,0,0,0,0,1,0,0
Customer Support Response Time,0,0,1,0,5,0,0,2,2,0
GST Scam,0,0,0,0,0,0,1,0,0,0
No Refund System,0,1,0,0,0,0,0,0,1,0
App Usability,1,0,0,0,0,1,1,1,1,0
"The review seems to be in Hindi. Based on my understanding of the language, I'll try to extract some key points:

Offer quality not good",0,0,0,0,0,1,0,0,0,0
Cheating Customers' Health,0,0,0,0,1,0,0,0,0,0
Money,0,0,1,0,0,0,0,0,0,0
Cheated by Company,0,0,0,1,0,0,0,0,0,0
Lack of Refund Policy,1,0,2,2,2,2,3,2,1,1
No Alternate Solution,0,0,1,0,0,0,0,0,0,0
Unfair Deductions,0,0,0,0,0,2,0,0,0,0
Incorrect Charge,0,0,0,1,0,0,1,3,1,0
Call Connection Problems,0,0,0,0,0,1,0,0,0,0
Food Order Experience,0,0,1,0,0,0,0,0,0,0
Customer Service Unavailability,1,1,0,0,0,0,0,0,0,0
Poor Accountability,0,1,0,0,0,0,0,0,0,0
Delivery Not Delivered,0,0,0,1,0,0,0,1,0,0
